AT,V,AP,RH,Y
20.46,51.43,1007.31,93.25,444.88
18.04,44.88,1017.96,66.3,461.13
12.32,41.62,1012.16,88.37,455.71
15.67,48.78,1013.76,88.92,462.96
17.82,49.15,1020.73,70.25,457.35
17.77,43.72,1009.01,77.7,456.34
28.82,71.8,1010.97,67.64,436.71
20,39.53,1007.59,62.09,456.28
8.01,41.66,1014.49,76.72,485.13
28.21,73.06,1008.26,86.29,430.46
12.83,41.5,1013.12,86.07,470.87
26.08,48.6,1003.61,57.8,438.61
23.14,63.94,1017.49,53.19,446.57
5.06,40.64,1021.49,93.7,483.73
12.02,43.69,1016.12,74.07,477.74
23.49,64.63,1020.75,65.16,450.28
12.72,40.71,1016.02,71.57,466.99
26.63,74.16,1009.72,83.26,436.03
25.32,60.37,1006.19,73.94,438.5
15.98,42.99,1008.24,83.78,467.42
31.37,74.87,1009.22,56.58,436.16
23.43,54.42,1013.58,70.99,454.86
29.5,72.86,1004.63,52.17,439.43
14.64,44.92,1025.54,91.12,462.64
14.07,43.34,1015.79,86,463.77
23.82,73.67,1007.26,88.16,438.42
24.02,77.54,1008.33,83.92,438.52
16.85,41.35,1006.14,79.21,463.37
29.6,71.94,1007.07,62.65,429.02
24.43,61.25,1011.66,85.24,436.05
29.53,64.44,1013.22,59.75,440.1
23.66,67.17,1007.24,87.56,443.43
22.64,59.27,1012.58,83.55,446.2
7.94,40.56,1023.25,80.84,488.01
10.17,40.46,1018.54,68.21,470.33
31.81,66.44,1011.21,53.55,426.84
18.16,39.99,1008.13,68.5,461.16
14.2,40.92,1022.26,71.71,460.42
18.74,44.34,1019.4,55.16,468.84
9.19,41.01,1022.14,98.98,468.37
28.28,69.48,1008.56,61.3,428.75
26.88,61.5,1009.17,61.26,440.13
9.64,36.66,1027.1,70.11,479.08
26.74,69.89,1013.96,51.82,436.02
20.24,56.53,1020.29,77.75,455.25
16.55,46.18,1009.97,96.54,455.8
13.75,44.47,1029.63,70.74,467.14
22.35,51.43,1011.34,77.33,445.34
24.57,49.82,1016.82,65.25,452.3
21.75,50.12,1009.36,94.41,446.64
9.52,39.61,1021.18,73.78,478.79
25.34,70.47,1006.46,83.94,433.34
23.79,50.16,1005.32,75.82,435.49
26.51,44.57,1007.56,52.23,445.32
13.83,43.22,1010.62,70.8,464.39
6.09,43.65,1020.95,71.15,485.96
14.02,43.34,1016.06,85.8,466.38
20.13,60.07,1014.79,63.57,453.49
10.33,41.44,1015.24,86.72,478.79
16.28,42.99,1007.5,77.27,464.13
26.59,59.92,1009.97,70.09,438.22
26.05,58.59,1012.32,49.83,452.41
20.11,42.04,1010.79,60.31,464.13
28.59,80.18,1011.36,89.18,431.55
21.05,61.87,1009.69,62.81,449.05
27.28,78.92,1011.05,75.48,434.78
21.05,63.09,1016.49,91.23,447.45
7.71,40.71,1021.53,95.48,471.38
23.97,64.05,1012.23,90.18,447.44
9.91,39.64,1010.57,75.82,478.63
26.31,44.57,1007.51,52.6,452.73
24.19,50.23,1015.73,59.77,458.31
20.8,69.45,1013.7,82.48,443.77
28.06,68.24,1010.27,69.72,429.47
15.46,44.88,1017.52,93.32,461.2
6.03,41.14,1028.04,87.46,479.61
7.26,36.08,1021.47,83.15,483.58
9.27,38.56,1017.69,62.49,475.42
15.07,50.88,1014.33,100.12,464.37
9.94,40.46,1018.9,68.51,473.74
12.93,39.58,1010.93,75.9,473.09
9.63,40.27,1009.96,81.03,477.38
9.45,39.04,1023.08,75.81,483.66
25.52,71.98,1006.89,86.94,433.42
12.84,50.59,1020.08,88.08,470.96
26.64,73.56,1004.98,93.31,432.93
30.67,72.86,1004.25,52.72,432.76
26.06,54.5,1015.52,67.12,451.67
12.85,40.92,1023.04,84.04,461.05
24.27,60.37,1005.13,77.16,437.78
7.74,42.49,1009.07,90.11,481.69
27.26,66.56,1007.83,60.95,434.88
25.21,65.34,1013.94,65.04,446.68
28.14,51.43,1012.16,52.67,445.33
13.93,44.21,1022.26,82.4,469.12
6.86,38.08,1019.62,77.37,486.92
21.86,64.45,1015.83,63.36,457.8
27.62,71.14,1011.6,52.8,434.72
24.07,71.97,1008.83,94.87,441.84
13.48,46.18,1018.15,88.38,464.58
21.53,70.02,1010.33,95.95,440.93
27.6,69.34,1009.63,71.58,440.6
7.24,38.06,1020.6,85.36,481.83
26.8,72.58,1008.94,78.24,428.62
24.45,68.63,1013.38,45.35,446.33
21.18,44.57,1007.27,73.67,449.93
19.11,60.29,1017.1,76.62,454.16
16.33,42.44,1013.98,84.9,462.44
21.09,50.9,1012.42,69.09,456.09
19.18,58.2,1017.46,76.72,453.2
21.11,69.94,1004.37,84.26,439.91
24.13,48.98,1014.74,40.13,460.38
16.38,47.45,1010.08,88.86,450.69
23.59,59.43,1009.96,65.8,440.61
16.98,43.99,1021.65,81.17,456.07
18.1,48.06,1015.47,82.47,454.04
24.17,73.18,1011.72,86.1,437.27
21.36,52.3,1007.95,79.38,448.13
34.51,73.03,1013.73,39.42,439.8
26.11,73.17,1009.8,65.18,434.94
6.65,38.5,1014.01,87.6,491.54
25.92,60.32,1016.05,52.51,448.37
27.51,49.3,1003.74,61.27,437.09
20.35,50.9,1012.6,72.43,453.5
31.38,70.83,1010.35,47.28,431.33
10.59,41.54,1019.94,72.52,478.74
13.7,44.47,1027.51,70.77,468.79
25.04,70.47,1006.82,84.75,433.1
22.78,58.96,1013.65,57.06,452.03
8.53,40.77,1009.85,90.95,481.03
22.32,69.48,1011.1,77.86,439.49
15.85,46.18,1013.14,97.8,462.88
23.17,62.39,1008.04,89.42,439.29
7.61,39.42,1024.93,74.77,475.55
22.32,70.47,1010.97,83.16,441.87
8.02,41.92,1029.8,92.05,467.21
14.28,42.77,1020.06,81.77,466.75
23.42,63.07,1011.72,75.81,444.23
27.17,63.09,1015.59,68.33,443.66
14.03,49.15,1020.5,83.65,467.16
17.98,39.63,1005.42,82.12,466.69
13.15,41.14,1026.72,80.31,461.49
5.37,38.68,1017.76,76.48,487.07
23.28,68.28,1000.79,81.35,442.04
32.55,70.94,1006.75,43.15,432.07
30.9,69.4,1003.53,66.69,425.3
16.7,50.66,1014.86,94.87,457.74
27.75,65.34,1014.8,45.91,440.83
20.21,65.06,1016.46,73.36,451.46
17.05,44.88,1017.69,88.19,459.63
10.08,37.92,1010.47,66.37,474.63
10.12,38.38,1018.22,85.93,477.73
17.37,58.49,1012.2,91.14,456.29
19.94,38.52,1018.4,55.9,450.48
7.03,41.74,1021.92,86.44,486.91
11.77,41.06,1021.45,76.63,475.88
7.06,41.74,1021.95,90.38,448.97
12.05,48.04,1009.14,100.13,464.14
9.41,41.54,1019.48,82.19,481.59
11.41,39.61,1018.69,69.44,467.19
15.69,39.3,1019.03,60.57,464.17
18.96,44.58,1016.66,71.95,461.96
26.26,63.73,1010.45,70.61,442.18
7.19,39.37,1019.67,70.77,480.4
5.12,40.78,1025.45,96.88,481.28
23.82,63.76,1009.8,68.94,440.52
26.23,70.72,1009.73,73.44,445.28
33.6,77.17,1009.01,47.53,430.32
27.73,67.69,1007.47,59.42,431.72
8.68,43.14,1011.94,79.06,480.73
14.09,43.99,1021.02,94.39,468.09
14.66,41.76,1022.12,78.13,463.6
17.9,43.72,1008.64,74.73,452.55
21.97,58.79,1010.93,86.7,448.8
14.41,40.83,1009.82,80.43,470.13
2.34,39.42,1028.47,69.68,490.34
27.44,65.59,1010.76,68.67,441.08
19.25,43.43,1012.01,73.26,451.08
31.41,74.16,1011.1,57.05,434.88
10.77,44.78,1012.87,84.16,470.66
20.58,49.15,1021.42,56.15,453.87
28.22,51.43,1006.06,63.72,438.43
20.53,65.06,1016.69,73.47,446.64
13.08,42.32,1016.63,83.72,462.41
6.67,39.37,1019.99,75.61,486.84
28.93,72.99,1007.23,64.41,434.45
22.21,45.01,1012.22,54.84,450.6
9.7,40.11,1026.61,75.48,473.97
27.18,64.44,1012.81,61.27,440.3
23.35,63.47,1011.78,84.24,437.87
12.53,42.03,1017.57,81.57,469.18
11.28,40.55,1006.23,97.78,475.14
5.21,43.65,1017.64,78.62,486.08
15.3,41.76,1022.57,71.56,466.59
26.94,71.14,1011.63,62.74,434.03
10.74,41.46,1016.76,84.59,479.94
14.03,49.83,1006.64,90.01,463.71
9.3,40.56,1022.64,76.14,479.87
9.2,39.82,1013.19,91.25,482.89
25.99,68.08,1013.13,59.14,442.14
25.28,70.32,1006.91,81.74,431.43
17.39,42.44,1013.72,73.79,461.55
29.35,69.04,1008.55,61.78,445.04
19.27,65.12,1015.63,73.48,449.42
11.58,41.74,1020.41,74.09,478.06
18.12,63.09,1019.32,89.21,449.65
13.48,41.92,1030.2,65.96,463.9
32.72,69.75,1009.6,49.35,437.99
12.74,49.83,1007.44,91.47,466.09
12.35,40.8,1027.35,72.69,476.88
32.96,73.03,1013.56,54.03,438.93
10.33,40,1021.35,90.84,479.32
27.43,63.87,1017.6,43.33,442.71
32.83,74.16,1007.57,60.2,432.05
10.05,40.71,1015.51,84.21,471.68
30.92,80.18,1010.11,72.47,432.35
20.28,57.25,1010.12,88.42,452.03
15.18,43.67,1011.59,92.58,467.74
5.62,43.65,1017.9,77.43,481.69
14.73,58.2,1019.45,82.48,458.56
30.36,74.87,1008.96,61.87,435.31
12.36,45.09,1013.05,88.4,467.2
20.6,65.12,1015.53,71.57,452.86
27.23,71.77,1006.59,77.94,427.39
25.45,69.59,1008.51,83.17,445.61
22.55,69.84,1006.57,76.29,438.54
9.82,36.18,1019.18,65.8,475.21
5.33,39.33,1009.61,94.97,491.17
18.5,41.85,1015.81,64.78,466.8
22.31,61.45,1009.25,98.56,437.05
28.01,64.69,1007.61,58.45,440.23
17.85,45.64,1020.11,82.94,459.59
8.35,40.77,1011.77,90.25,478.82
10.59,41.93,1017.7,92.91,479.85
15.21,50.88,1014.24,100.11,460.56
22.88,65.48,1017.33,66.26,447.14
16.18,43.99,1021.97,80.96,460.81
30.3,73.9,1006.72,55.13,440.79
28.66,77.95,1009.56,69.07,431.23
25.33,73.21,1002.19,97.24,433.43
15.11,42.99,1007.53,85.75,466.25
10.7,44.77,1017.8,82.37,484.94
29.03,67.79,1010.67,55.42,444.09
20.45,48.41,1010.81,86.7,444.69
19.82,41.67,1012.92,51.92,456.87
13.41,45,1022.31,76.29,475.9
17.68,40.89,1011.24,61.37,462.08
18.87,52.08,1005.25,99.19,449.61
16.23,43.52,1020.13,76.3,464.74
18.92,44.63,1020.32,47.81,451.64
16.7,36.99,1006.19,89.33,464.7
25.02,60.29,1017.49,54.75,445.61
20.15,65.59,1014.62,79.39,449.84
16.84,56.03,1020.25,70.37,437.14
21.11,58.12,1015.38,77.78,453.28
18.53,48.98,1014.24,74.29,452.73
25.2,61.08,1013.04,74.28,447.09
22.75,70.94,1008.03,81.95,439.91
14.32,40.78,1024.49,73.84,457.92
31.01,73.5,1010.92,48.61,432.41
28.37,63.31,1013.18,49.02,437.64
28.11,77.95,1009.38,72.81,432.98
21.94,58.79,1010.3,88.21,447.52
10.24,41.17,1019.73,82.04,479.78
24.4,60.37,1006.77,82.43,440.64
13.04,41.04,1026.27,69.75,464.91
19.16,63.09,1017.71,91.15,449.51
23.65,66.05,1019.6,78.21,442.9
7.28,38.56,1018.96,67.98,485.57
32.31,68.94,1006.11,71.78,431.14
23.89,50.16,1004.88,73.94,444.99
27.44,52.3,1008.15,58.92,441.75
10.17,40.1,1014.05,91.9,479.58
17.3,57.76,1016.26,87.74,455.75
24.86,72.39,1001.15,90.24,440.85
19.54,44.57,1007.19,78.93,450.54
16.88,56.89,1014.01,82.1,457
8.23,43.79,1016.11,82.11,484.67
14.13,48.92,1011.72,78.06,464.17
13.44,37.85,1009.78,99.13,469.89
23.6,60.08,1017.51,63.02,451.97
12.64,40.71,1024.2,65.21,476.37
14.04,40.83,1008.98,82.04,469.75
21.57,69.23,1011.94,81.73,437.55
24.03,62.44,1010.96,79.88,430.66
22.87,74.22,1009.36,93.05,438.67
14,41.78,1010.96,48.37,465.62
5.81,35.79,1012.14,92.28,484.41
30.36,69.04,1009.6,58.73,436.72
25.21,60.37,1006.01,73.14,436.23
10.8,41.74,1020.24,78.62,479.32
6.02,41.38,1021.2,88.71,490.57
20.54,68.12,1012.23,81.06,440.28
12.68,41.4,1021.59,78.57,466.64
16.61,50.9,1013.18,85.26,460.35
21.67,61.45,1010.84,92.19,443.82
15.75,39.16,1016.31,77.99,468.87
31.54,71.06,1008.4,71.77,431.87
11.91,40.69,1014.41,83.71,476.71
21.05,58.33,1013.14,66.34,447.66
14.84,41.23,995.02,88,464.85
23.45,45.61,1012.84,73.42,454.92
8.3,43.13,1020.02,83.11,484.07
14.86,44.85,1016.19,67.43,468.87
13.8,40.2,1013.12,90.59,466.29
9.14,42.44,1014.48,92.03,481.46
27.06,72.58,1009.24,90.31,429.18
18.87,67.71,1004,87.35,444.77
10.16,41.62,1013.15,94.3,465.05
21.34,51.61,1010.11,80.7,452
19.61,45.01,1014.84,64.42,461.97
29.64,67.79,1009.99,51.23,440.74
25.36,60.07,1015.06,66.11,439.73
15.65,54.3,1018,69.66,461.69
21.94,64.69,1007.39,77.58,449.36
25.16,60.23,1011.21,68.31,444.98
14.73,39.82,1012.67,80.82,470.41
24.11,68.3,1017.33,79.16,432.62
13.15,40.78,1024.13,79.59,462.3
26.04,74.67,1016.68,81.2,433.55
8.77,40.77,1011.54,89.58,480.56
31.94,74.99,1002.05,34.12,440.17
26.58,62.39,1006.36,68.98,438.66
14.79,39.52,1017.95,71.97,469.47
11.7,43.41,1016.08,62.27,467.51
8.16,39.3,1019.39,85.38,483.17
12.5,41.38,1021.87,57.59,474.4
13.86,35.71,1015.21,63.16,471.63
27.59,50.05,1005.71,57.03,437.98
19.53,50.32,1009.71,94.46,449.59
14.12,39.4,1008.02,76.45,468.63
23.23,63.31,1012.52,75.1,441.5
26.53,65.18,1012.77,64.37,437.39
19.8,58.79,1017.04,87.71,449.66
24.17,48.78,1018.08,75.14,440.96
13.86,40.83,1008.76,82.4,470.37
7.77,35.77,1016.53,73.79,479.68
7.41,39.16,1015.23,90.66,486.91
24.39,70.72,1009.78,82.25,442.04
17.48,58.95,1016.49,90.35,449.26
26.26,71.73,1009.59,80.06,430.79
18.62,61.27,1019.26,73.35,455.75
15.68,39.16,1006.09,75.62,461.98
25.16,54.2,1012.69,58.02,441.99
11.47,43.67,1012.68,72.51,475.72
17.32,44.34,1019.52,56.24,468.8
21.81,43.77,1011.97,64.72,453.13
29.82,69.75,1010.09,65.02,442.6
14.45,43.34,1015.47,83.33,462.16
20.15,49.5,1013.47,66.7,462.65
31.19,70.94,1007.29,51.91,436.6
22.08,41.1,1002.19,46.69,455.04
30.17,76.86,998.23,73.61,430.3
20.23,69.45,1013,89.79,445.82
23.36,65.18,1012.35,78.09,436.39
12.89,48.14,1017.48,83.95,463.77
8.44,41.17,1019.9,70.72,486.15
18.27,51.43,1010.38,88.39,460.41
22.5,59.54,1007.99,93.63,445.22
7.36,41.01,1025.49,96.48,477.37
11.23,43.7,1016,91.75,476.04
18.25,43.14,1011.51,55.16,462.78
9.6,42.03,1017.66,92.27,474.65
5.65,40.72,1022.46,85.17,487.09
12.15,71.14,1019.56,86.06,462.51
22.1,71.29,1008.2,75.38,442.35
14.66,40.89,1009.72,91.56,465.73
32.57,65.74,1011.03,46.27,440.56
12.3,40.69,1015.74,82.58,474.46
19.32,52.9,1016.86,68.2,457.66
7.7,40.72,1022.81,81.97,482.79
12.41,45.87,1004.78,80.02,468.14
16.65,46.18,1010.6,95.69,465.6
28.69,58.33,1013.67,34.1,448.54
17.15,43.69,1017.05,63.36,463.88
4.44,38.44,1016.14,75.35,486.53
20.3,59.8,1015.24,78.75,453.29
23.96,58.33,1013.37,59.97,446.01
31.84,71.37,1003.51,46.22,432.04
18.31,42.23,1012.88,79.32,464.45
14.1,42.18,1015.05,78.25,463.3
11.1,40,1021.29,86.58,477.2
15.63,40.56,1018.68,59.44,472.15
11.96,43.41,1017.42,79.44,469.34
3.91,35.47,1016.92,86.03,488.67
9.79,39.69,1002.36,93.86,471.61
4.71,42.07,1005.35,82.26,486.79
10.36,41.46,1017.53,92.04,478.27
6.92,39.61,1018.64,82.27,483.83
32.77,72.86,1003.6,52.87,433.84
26.25,52.09,1013.2,53.12,450.53
20.11,57.25,1010.36,88.89,451.95
23.46,72.43,1008,90.55,435.36
8.09,43.02,1014.79,81.06,484.35
34.61,73.03,1013.61,36.91,438.56
17.43,63.09,1019.87,92.77,449.36
23.81,73.17,1012.13,86.13,438.11
10.15,41.46,1019.56,81.79,479.32
7.35,41.66,1015.55,79.67,485.35
19.97,50.78,1008.75,92.7,446.57
26.7,62.26,1011,71.64,435.03
16.48,68.28,1004.27,99.89,449.7
26.64,69.13,1010.6,79.23,430.41
20.12,65.94,1009.93,76.24,447.46
26.6,61.02,1010.26,66.16,436.19
15.77,41.79,1007.96,80.69,455.87
28.68,73.77,1004.72,87.01,431.66
16.97,44.92,1025.21,74.27,460.21
16.51,51.86,1022.37,81.18,442.48
14.56,40.69,1015.48,73.73,469.31
22.52,64.27,1014.34,82.77,445.4
10.36,43.67,1012.16,77.04,478.27
24.63,59.57,1010.45,85.36,440.67
27.01,63.78,1016.72,47.89,442.6
29.77,69.48,1009.8,52.6,432.69
28.96,66.54,1002.54,56.33,429.48
20.09,63.94,1020.82,74.16,449.47
20.65,66.51,1014.94,71.83,456.49
28.46,73.67,1005.67,71.21,429.15
8.34,40.96,1023.28,89.45,483.92
28.31,64.79,1016.58,60.88,440.96
7.98,39.61,1018.57,77.04,479.78
29.92,67.22,1014.09,50.62,444.78
10.12,40,1021.33,95.29,476.03
13.9,41.17,1016.84,72.9,468.96
19.32,44.71,1015.3,28.81,464.38
11.02,40.71,1020.3,86.64,469.31
29.6,69.82,1010.49,61.66,438.47
14.98,39.58,1011.78,75.07,467.77
10.38,41.01,1020.8,94.26,465.9
22.39,48.14,1014.56,64.31,448.58
6.89,39.37,1020.21,74.17,486.9
27.71,75.23,1010.21,59.75,440.7
11.89,40.64,1021.29,97.16,476.99
31.43,69.89,1014.8,56.22,426.15
30.54,69.14,1007.25,70.46,435.46
16.34,36.99,1006.99,90.06,466.24
6.86,41.17,1020.12,79.14,490.23
26.49,67.69,1004.61,78.13,430.62
27.4,69.84,1002.98,76.48,430.54
18.9,62.96,1020.69,80.57,455.88
13.07,45.51,1015.22,78.65,460.14
7.46,41.26,1009.63,96.51,482.83
14.54,42.77,1019.61,81.82,466.37
24.49,59.87,1018.4,59.95,444.54
28.24,65.74,1013.4,64.87,438.47
16.7,46.18,1011.4,95.51,458.05
22.31,51.19,1009.38,79.72,444.74
14.02,41.78,1011.26,48.62,465.87
14.72,40.83,1009.65,80.98,469.8
8.27,35.76,1020.11,75.25,480.8
20.98,60.07,1016.26,67.18,446.26
13.32,41.7,1020.22,88.3,451.93
30.26,76.2,1008.44,62.1,435.04
9.84,40.72,1022.21,77.79,477.52
28.84,74.67,1016.52,67.43,428.98
4.56,40.27,1011.13,80.24,493.87
14.9,52.05,1015.11,77.33,464.82
12.1,41.17,1013.72,75.61,478.1
12.38,41.62,1012.37,84.15,461.07
5.97,36.25,1029.65,86.74,487.03
19.41,49.39,1020.84,81.89,449.24
25.88,71.73,1010.01,72.8,430.86
6.11,38.68,1017.53,79.23,482.97
24.41,52.3,1006.28,70.33,442.62
8.14,37.49,1009.04,80.33,480.66
29.23,69.59,1009,71.41,437.95
16.88,39.99,1007.08,74.29,462.83
25.54,60.37,1006.49,71.54,436.14
17.57,46.21,1014.09,80.81,453.29
25.91,67.07,1005.66,60.12,441.74
18,44.06,1016.8,78.88,454.59
21.4,68.28,1008.2,60.34,450.22
18.14,43.56,1012.83,47.1,461.71
10.07,40.46,1018.65,69.2,470.99
22.06,59.39,1015.26,85.04,441.31
27.56,63.9,1013.23,45.97,442.43
8.14,39.96,1023.41,88.86,477.05
8.82,43.56,1014.95,81.54,482.71
24.43,58.95,1017.18,57.73,441.4
4.41,42.07,1005.54,68.85,488.36
26.97,67.32,1014.35,55.07,439.61
12.61,41.58,1020.17,85.18,463.36
23.13,71.25,1002.49,94.59,431.91
16.49,41.93,1022.92,44.98,467.48
20.53,54.9,1016.61,61.28,454.67
11.84,39.28,1016.97,90.52,477.51
27.18,71.06,1008.16,86.32,430.66
31.4,71.06,1008.44,74.77,433.34
28.54,71.94,1007.4,65.99,430.91
12.87,39.3,1020.64,74.38,467.54
31.54,77.24,1008.23,70.19,431.27
29.25,69.13,1010.27,67.35,426.29
6.28,41.06,1020.96,90.91,489.79
12.46,40.73,1017.53,93.47,464.7
5.85,40.77,1022.44,84.77,480.59
10.51,44.78,1012.59,85.29,474.77
28.57,75.33,1003.16,76.14,431.58
24.49,49.82,1017.09,64.02,451.42
14.3,41.93,1020.6,65.38,471.32
13.49,44.63,1019.12,70.02,471.08
7.57,39.61,1018.66,85.73,480.86
24.06,71.25,1002.39,92.18,438.85
28.79,68.51,1013.02,62.84,432.51
32.18,69.75,1009.94,52.91,438.26
23.92,66.54,1009.93,62.37,441.9
8.94,43.13,1014.82,76.66,483.63
29.11,74.9,1003.31,74.01,432.43
27.27,72.24,1010.69,78.09,432.35
22.79,44.57,1007.31,69.36,448.91
6.15,40.07,1020.2,66.64,494.3
32.09,70.4,1003.73,55.65,434.64
18.4,44.06,1017.36,70.88,456.8
15.33,36.71,1013.99,73.89,468.36
30.76,59.57,1010.66,61.76,439.32
7.33,41.16,1023.17,92.43,466.16
26.01,74.33,1015.69,81.22,435.82
22.8,49.16,1006.4,77.05,439.65
30.2,71.85,1008.25,59.1,425.21
26.81,71.29,1009.65,80.69,434.48
16.45,63.31,1015.96,83.97,452.42
26.63,73.68,1015.15,85.13,428.8
26.18,68.08,1012.92,55.7,436.51
27.75,77.24,1007.48,78.37,433.57
29.38,73.42,1011.49,54.96,445.42
17.98,59.15,1012.09,83.03,451.97
8.86,36.71,1025.64,79.65,478.88
8.16,39.72,1020.54,82.11,480.21
25.86,59.92,1009.92,73.95,436.06
15.37,43.67,1011.9,91.48,468.23
7.51,41.66,1015.9,78.31,485.58
10.57,36.71,1022.62,80.49,473.88
16.49,49.39,1018.1,93.13,461.54
26.75,60.96,1012.05,56.77,447.93
5.8,45.87,1009.14,92.06,481.6
30.97,69.13,1009.78,58.92,435.6
11.85,42.07,1017.92,93.45,467.25
6.76,39.22,1013.91,77,487.08
18.37,58.96,1015.5,67.79,460.25
30.9,70.8,1008.48,67.48,435.27
24.81,59.87,1018.56,61.18,444.89
7.65,36.3,1016.5,65.51,482.56
22.18,69.05,1002.75,70.84,442.14
17.81,37.2,1011.98,67.27,470.97
19.51,44.05,1008.52,78.38,451.7
19.75,57.32,1010.76,79.29,443.63
32.33,69.68,1011.95,39.89,439.79
9.54,41.17,1019.79,65.61,481.18
8.27,37.7,1015.09,73.64,479.16
27.79,69.23,1012.86,45.71,435.06
28.04,70.32,1011.28,78.16,435.42
10.62,39.96,1025.37,96.64,470.8
33.92,77.95,1010.15,58.89,433.01
10.37,40.03,1017.47,90.47,477.91
30.51,70.79,1004.55,56.05,428.79
13.2,40.83,1007.75,94.98,472.41
11.64,38.25,1013.33,85.79,472.34
15.03,42.44,1014.25,94.52,464.91
18.84,67.32,1012.63,81.89,449.21
23.94,59.39,1014.32,74.55,438.64
20.66,51.19,1008.81,88.93,447.14
10.69,36.71,1022.08,83.28,472.81
20.28,63.86,1016.04,74.66,447.26
7.39,39.85,1011.63,83.61,487.84
25.5,68.08,1011.13,72.86,436.07
22.49,58.71,1009.75,76.43,443.33
31.68,68.24,1005.29,37.34,427.22
21.99,51.19,1009.19,82.58,446.93
15.35,41.79,1008.38,81.13,455.54
13.32,44.9,1007.72,78.64,466.3
14.33,45.51,1015.42,71.55,468.92
33.11,77.54,1010.36,50.99,431.77
14.45,43.71,1025.26,84.23,463.6
32.98,73.88,1006.31,47.55,440.28
13.72,41.62,1011.14,75.79,455.52
17.94,62.1,1019.81,82.65,453.55
6.49,38.68,1017.94,64.81,485.95
7.69,43.02,1014.51,85.23,486.46
7.11,40.77,1022.4,90.95,475.55
23.33,72.99,1009.33,89.41,440.04
18.62,59.15,1012.85,82.54,450.81
8.65,40.56,1023.23,78.85,485.87
8.03,40.07,1016.06,47.46,488.02
10.39,40.22,1006.59,87.77,479.14
21.71,76.86,1006.71,76.86,438.41
8.48,42.49,1010.77,88.68,483.5
10.72,35.76,1019.71,62.26,473.48
16.01,65.46,1014,87.68,454.16
6.14,40.62,1015.71,86.51,481.66
13.82,44.84,1023.72,95.24,467.95
21.04,65.46,1017.22,63.02,452.12
31.62,64.05,1010.94,58.93,439.09
20.17,56.03,1019.47,56.77,458.04
10.07,34.69,1028.09,70.52,478.65
7.79,41.16,1023.17,97.11,471.82
21.67,57.76,1018.32,68.21,452.56
19.15,59.21,1018.41,88.9,450.26
20.71,45.61,1013.64,82.39,457.4
10.39,40.96,1023.51,84.73,479
4.87,42.85,1013.6,92.3,482.22
28.61,68.12,1012.23,46.45,435.28
11.48,37.92,1008.47,70.55,472.9
28.37,71.64,1007.39,71.06,434.91
20.14,46.33,1013.24,83.39,453.35
9.15,39.61,1018.69,84.47,475.64
17.74,50.88,1015.56,89.78,457.71
31.46,77.17,1009.26,59.61,435.56
21.98,48.41,1008.42,84.86,444.6
4.08,35.19,1018.87,97.07,489.44
16.22,50.88,1014.33,100.09,454.94
15.61,41.2,1016.12,75.28,467.81
18.46,42.18,1001.47,97.61,458.67
10.16,41.79,1021.35,52.4,472.75
13.28,43.8,1023.17,63.98,466.78
20.26,50.32,1009.81,93.12,448.4
29.79,68.24,1009.19,65.49,428.44
22.45,59.87,1018.92,72.73,445.34
24.82,59.27,1012.76,72.34,444.81
9.72,43.41,1016.25,76.39,474.1
12.26,41.5,1014.87,89.41,471.13
19.39,43.14,1012.75,44.21,464.55
9.46,42.28,1008.67,78.16,481.95
30.85,67.45,1014.53,32.99,430.8
28.73,73.91,1004.91,70.17,436.12
26.12,49.02,1008.63,72.04,438.52
20.97,61.87,1011.45,65.41,446.76
6.1,39.33,1010.4,95.34,491.37
13.26,41.74,1021.89,63.32,473.44
26.86,72.58,1009.22,88.39,428.69
23,57.76,1017.64,56.86,451.39
27.3,57.19,1008.08,63.48,438.65
4.95,42.07,1004.87,80.88,485.67
16.73,45,1023.44,60.68,467.08
7.11,41.74,1022.35,90.68,487.85
25.94,66.49,1012.83,61.81,433.38
19.69,56.65,1020.79,66.94,457.17
15.29,41.1,1005.75,85.53,467.99
22.85,60.29,1017.29,61.92,448.58
18.56,67.71,1004.77,85.28,444.9
27.72,69.88,1007.58,72.25,434.02
19.83,59.44,1012.98,91.24,446.15
11.48,37.5,1014.38,69.75,472.9
29.04,60.07,1015.42,46.15,440.43
24.05,72.24,1011.32,88.94,437.81
24.15,64.63,1020.72,58.06,448.87
14.64,39.31,1008.84,79.3,462.72
24.35,58.79,1010.13,72.1,448.19
14.55,40.73,1018.36,89.12,458.82
8.41,39.16,1015.47,93.42,484.34
14.69,53.82,1016.54,63.49,463.52
25.87,63.47,1011.54,65.45,445.87
12.75,40.64,1020.44,83.17,466.93
21.57,66.49,1014.76,68.19,455.18
12.75,42.86,1014.9,88.44,475.09
20.76,58.18,1007.8,99.22,449.25
24.27,63.87,1018.88,53.96,420.26
23.5,50.78,1008.7,57.7,445.09
24.93,69.05,1001.02,85.14,429.53
13.79,42.07,1018.27,88.06,462.25
10.94,43.67,1012.36,73.3,477.34
15.48,41.66,1009.55,66.74,467.06
12.43,43.22,1008.93,77.42,468.01
16.16,52.05,1013.19,75.37,463.09
29.25,66.51,1015.53,33.65,441.7
29.01,64.79,1017.62,44.31,442.12
12.67,42.86,1014.06,89.9,473.13
13.74,34.03,1018.69,67.34,470.49
17.28,44.92,1024.39,76.08,459.26
